V<=0.55 + lex cov>=1.0 top2              k=2: golden F1=0.750 top1=44/48 rej=12/12 | names F1=0.839 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.833
lexfull-first, V<=0.55, lex cov>=1.0 top2 k=2: golden F1=0.750 top1=44/48 rej=12/12 | names F1=0.839 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.833
lexfull-first, V<=0.6, lex cov>=0.8 top1 k=2: golden F1=0.719 top1=44/48 rej=12/12 | names F1=0.817 top1=29/31 | tokens F1=0.973 top1=25/25 | all F1=0.809
lexfull-first, V<=0.6, lex cov>=1.0 top1 k=2: golden F1=0.719 top1=44/48 rej=12/12 | names F1=0.817 top1=29/31 | tokens F1=0.973 top1=25/25 | all F1=0.809
lexfull-first, V<=0.6, lex cov>=0.6 top1 k=2: golden F1=0.715 top1=44/48 rej=12/12 | names F1=0.817 top1=29/31 | tokens F1=0.973 top1=25/25 | all F1=0.808
V<=0.55 + lex cov>=0.8 top1              k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.833 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.807
lexfull-first, V<=0.55, lex cov>=0.8 top1 k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.833 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.807
V<=0.55 + lex cov>=1.0 top1              k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.833 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.807
lexfull-first, V<=0.55, lex cov>=1.0 top1 k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.833 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.807
V<=0.55 + lex cov>=0.6 top1              k=3: golden F1=0.693 top1=44/48 rej=12/12 | names F1=0.833 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.805
lexfull-first, V<=0.55, lex cov>=0.6 top1 k=3: golden F1=0.693 top1=44/48 rej=12/12 | names F1=0.833 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.805
V<=0.55 + lex cov>=0.8 top2              k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.823 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.804
lexfull-first, V<=0.55, lex cov>=0.8 top2 k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.823 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.804
V<=0.55 + lex cov>=1.0 top2              k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.823 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.804
lexfull-first, V<=0.55, lex cov>=1.0 top2 k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.823 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.804
V<=0.55 + lex cov>=0.6 top2              k=3: golden F1=0.696 top1=44/48 rej=12/12 | names F1=0.823 top1=30/31 | tokens F1=0.987 top1=24/25 | all F1=0.804
lexfull-first, V<=0.55, lex cov>=0.6 top2 k=3: golden F1=0.696 top1=44/48 rej=12/12 | names F1=0.823 top1=29/31 | tokens F1=0.987 top1=25/25 | all F1=0.804
V<=0.6 + lex cov>=0.8 top1               k=2: golden F1=0.719 top1=44/48 rej=12/12 | names F1=0.796 top1=30/31 | tokens F1=0.973 top1=24/25 | all F1=0.803
V<=0.6 + lex cov>=0.8 top2               k=2: golden F1=0.719 top1=44/48 rej=12/12 | names F1=0.796 top1=30/31 | tokens F1=0.973 top1=24/25 | all F1=0.803
lexfull-first, V<=0.6, lex cov>=0.8 top2 k=2: golden F1=0.719 top1=44/48 rej=12/12 | names F1=0.796 top1=29/31 | tokens F1=0.973 top1=25/25 | all F1=0.803
V<=0.6 + lex cov>=1.0 top1               k=2: golden F1=0.719 top1=44/48 rej=12/12 | names F1=0.796 top1=30/31 | tokens F1=0.973 top1=24/25 | all F1=0.803
V<=0.6 + lex cov>=1.0 top2               k=2: golden F1=0.719 top1=44/48 rej=12/12 | names F1=0.796 top1=30/31 | tokens F1=0.973 top1=24/25 | all F1=0.803
lexfull-first, V<=0.6, lex cov>=1.0 top2 k=2: golden F1=0.719 top1=44/48 rej=12/12 | names F1=0.796 top1=29/31 | tokens F1=0.973 top1=25/25 | all F1=0.803
V<=0.6 + lex cov>=0.6 top1               k=2: golden F1=0.715 top1=44/48 rej=12/12 | names F1=0.796 top1=30/31 | tokens F1=0.973 top1=24/25 | all F1=0.801
V<=0.6 + lex cov>=0.6 top2               k=2: golden F1=0.715 top1=44/48 rej=12/12 | names F1=0.796 top1=30/31 | tokens F1=0.973 top1=24/25 | all F1=0.801
lexfull-first, V<=0.6, lex cov>=0.6 top2 k=2: golden F1=0.715 top1=44/48 rej=12/12 | names F1=0.796 top1=29/31 | tokens F1=0.973 top1=25/25 | all F1=0.801
V<=0.6 + lex cov>=0.8 top1               k=3: golden F1=0.636 top1=44/48 rej=12/12 | names F1=0.747 top1=30/31 | tokens F1=0.967 top1=24/25 | all F1=0.749
lexfull-first, V<=0.6, lex cov>=0.8 top1 k=3: golden F1=0.636 top1=44/48 rej=12/12 | names F1=0.747 top1=29/31 | tokens F1=0.967 top1=25/25 | all F1=0.749
V<=0.6 + lex cov>=0.8 top2               k=3: golden F1=0.636 top1=44/48 rej=12/12 | names F1=0.747 top1=30/31 | tokens F1=0.967 top1=24/25 | all F1=0.749
lexfull-first, V<=0.6, lex cov>=0.8 top2 k=3: golden F1=0.636 top1=44/48 rej=12/12 | names F1=0.747 top1=29/31 | tokens F1=0.967 top1=25/25 | all F1=0.749
V<=0.6 + lex cov>=1.0 top1               k=3: golden F1=0.636 top1=44/48 rej=12/12 | names F1=0.747 top1=30/31 | tokens F1=0.967 top1=24/25 | all F1=0.749
lexfull-first, V<=0.6, lex cov>=1.0 top1 k=3: golden F1=0.636 top1=44/48 rej=12/12 | names F1=0.747 top1=29/31 | tokens F1=0.967 top1=25/25 | all F1=0.749
V<=0.6 + lex cov>=1.0 top2               k=3: golden F1=0.636 top1=44/48 rej=12/12 | names F1=0.747 top1=30/31 | tokens F1=0.967 top1=24/25 | all F1=0.749
lexfull-first, V<=0.6, lex cov>=1.0 top2 k=3: golden F1=0.636 top1=44/48 rej=12/12 | names F1=0.747 top1=29/31 | tokens F1=0.967 top1=25/25 | all F1=0.749
V<=0.6 + lex cov>=0.6 top1               k=3: golden F1=0.633 top1=44/48 rej=12/12 | names F1=0.747 top1=30/31 | tokens F1=0.967 top1=24/25 | all F1=0.747
lexfull-first, V<=0.6, lex cov>=0.6 top1 k=3: golden F1=0.633 top1=44/48 rej=12/12 | names F1=0.747 top1=29/31 | tokens F1=0.967 top1=25/25 | all F1=0.747
V<=0.6 + lex cov>=0.6 top2               k=3: golden F1=0.633 top1=44/48 rej=12/12 | names F1=0.747 top1=30/31 | tokens F1=0.967 top1=24/25 | all F1=0.747
lexfull-first, V<=0.6, lex cov>=0.6 top2 k=3: golden F1=0.633 top1=44/48 rej=12/12 | names F1=0.747 top1=29/31 | tokens F1=0.967 top1=25/25 | all F1=0.747
vector cut0.75 only                      k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.968 top1=30/31 | tokens F1=0.280 top1=7/25 | all F1=0.713
vector cut0.75 only                      k=2: golden F1=0.719 top1=44/48 rej=12/12 | names F1=0.656 top1=30/31 | tokens F1=0.267 top1=7/25 | all F1=0.591
vector cut0.55 only                      k=1: golden F1=0.774 top1=44/48 rej=12/12 | names F1=0.742 top1=23/31 | tokens F1=0.040 top1=1/25 | all F1=0.588
vector cut0.55 only                      k=2: golden F1=0.750 top1=44/48 rej=12/12 | names F1=0.624 top1=23/31 | tokens F1=0.040 top1=1/25 | all F1=0.542
vector cut0.55 only                      k=3: golden F1=0.697 top1=44/48 rej=12/12 | names F1=0.591 top1=23/31 | tokens F1=0.040 top1=1/25 | all F1=0.507
vector cut0.75 only                      k=3: golden F1=0.608 top1=44/48 rej=12/12 | names F1=0.522 top1=30/31 | tokens F1=0.247 top1=7/25 | all F1=0.496
